"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept[1]",0.0679131527103117,0.242617042381324,-0.402881342771189,0.53934848758305
"Intercept[2]",4.67348582880689,0.364312318407864,3.98762221769797,5.41537425506218
"Intercept[3]",9.89904653581367,0.632821718119161,8.70625924816748,11.1732130716304
"gender",-1.28595814389576,0.244903330400864,-1.77732161252104,-0.807988637833104
"diagnosis_age",4.02079884099778,0.269948553896725,3.51921524859333,4.57613584307436
"time_since_diagnosis",0.985015591749282,0.0644826641977239,0.86432718338108,1.11592368647017
